@37540  = ~I would like you to join us again, Haer'Dalis.《我希望你再加入我們，海爾達利。》~
@41340  = ~Things will proceed as I have said; I expect each of you to stop all this. You are here because I pay you... perhaps a bonus of 500 gp will convince you.《一切都照我所的進行；我希望你們能夠停止這種行為。你們來到這裡是因為我付你們薪水……或許500枚金幣的獎金可以讓你們相信我。》~
@41341  = ~If you want to walk out, then fine. Go. But you'll not be paid a copper. This is my playhouse, and things are done as I wish.《如果你們想要離開，那好，就走吧！不過你們將連一塊銅板也拿不到，這是我的劇院，我說了就算。》~
@41342  = ~I'll end this right now. I'll rewrite the play myself, and that will be the version that gets used. No arguments.《我現在就做個了結。由我自己來修改劇本，我的版本就是最後演出的版本。不准再有異議。》~
@41343  = ~I'll end this right now. I'll rewrite the play myself, and that will be the version that gets used. No arguments.《我現在就做個了結。由我自己來修改劇本，我的版本就是最後演出的版本。不准再有異議。》~
@41344  = ~I'll end this right now. I'll rewrite the play myself, and that will be the version that gets used. No arguments.《我現在就做個了結。由我自己來修改劇本，我的版本就是最後演出的版本。不准再有異議。》~
@41345  = ~Not a prize specimen, perhaps, but every little bit shall help, I am sure. I am sure the plan is epic in design. Good eve to you, <CHARNAME>; I must return to the mistress's chambers.《也許不是第一流的貨色，不過滴水可以成涓流，這我很確定。我確信計劃具有史詩般的浩大規模。祝你晚安，<CHARNAME>，我必須回到夫人的房間。》~
@41346  = ~Attack them, slave! Attack those you would call <PRO_BROTHERSISTER>!《奴隸，攻擊他們！攻擊那些你們稱為<PRO_BROTHERSISTER>的人！》~
@41347  = ~I... suppose the patron is correct.《我……我想老闆說得沒錯。》~
@41348  = ~You! Stand and declare your allegiance! Are you Shadow Thief?《你！站住！你是哪一邊的人！你是影賊嗎？》~
@41349  = ~Now that is the best thing I have heard this week. Now... back to work, all of you!《這真是我這個禮拜以來所聽到最棒的事情，好了……通通回去工作！》~
@41350  = ~What? Why are you asking?《什麼？你為什麼這樣問？》~
@41351  = ~Out of my way. I have no time for this.《滾開，我沒有時間理會你。》~
@41352  = ~A yes or no is all that is required! Declare your allegiance! Are you Shadow Thief?《只要回答是或不是！說出你的陣營！你是不是影賊？》~
@41353  = ~Hmph. We are just supposed to listen to this and all will be better?《哼，我們只要聽一聽，然後整齣戲就會變好？》~
@41354  = ~Yes, I currently work for the Shadow Thieves.《是的，我目前正在幫影賊工作。》~
@41355  = ~Yes, I currently work for the Shadow Thieves.《是的，我目前正在幫影賊工作。》~
@41356  = ~Yes, I currently work for the Shadow Thieves.《是的，我目前正在幫影賊工作。》~
@41357  = ~*sigh* What would you rather, Iltheia? That we are out on the street?《（唉）你寧可怎麼樣，依西雅？我們全都到大街上去挨餓？》~
@41358  = ~I do not have allegiance to any such guild.《我跟任何公會都沒有關係。》~
@41359  = ~I do not have allegiance to any such guild.《我跟任何公會都沒有關係。》~
@41360  = ~I do not have allegiance to any such guild.《我跟任何公會都沒有關係。》~
@41361  = ~I work for Mistress Bodhi. Are you threatening me?《我為芭荻女士工作，你這是在威脅我嗎？》~
@41362  = ~Proclamation of warning to all guild members:

The Shadow council itself decrees that all chapters should be on their guard against the upstart assassins' guild usurping our membership. The lure of coin is naught but bait, and it is suspected that the end of those that have defected has been most bloody. No guild can rival the Shadow Thieves, so any that claim as such must have darker motives.

You have been warned of the cost of treachery.《在此宣佈對所有公會成員的警告：
暗影議會令：所有人員應積極對抗那個正在爭取我方成員、並崛起中的刺客公會。錢幣只是誘餌，而且據信那些叛逃者均以血腥收場。沒有任何公會能夠和影賊公會抗衡；若有人敢宣稱他們辦得到，那一定有惡毒的動機在後頭。
你已經被警告過背叛的代價。》~
@41363  = ~The Shadow Thieves weaken day by day and cannot even protect their own members from the night they claim to know so well. What do your guild dues pay for, besides the opulence of the Shadow Council? Join with us and receive what you know you are worth. We meet when the night is half past. You know the place.《影賊公會一天比一天軟弱，甚至無法保護他們自己的成員在夜裡不受傷害。除了讓暗影議會變得更富有之外，你的公會費用究竟是為什麼而付？加入我們，獲得你應得的東西。我們在夜晚過半時聚會。你知道地方。》~
@41364  = ~Then you are to renounce your guild and join with us, or you will die! Is that... wait... I know you. You are <CHARNAME>, and you serve the mistress.《那麼你就得放棄你的公會改投靠我們，否則你就得死！這樣清……慢著……我認識你。你是<CHARNAME>，而且你正在幫女主人工作。》~
@41365  = ~You will die for your association! We would recruit you, but our last have not been shipped yet. Let havoc serve as well as defecting members. Die and feed us!《你必須要死！我們原本要招募你，但是我們上一回的事還沒了結。讓毀滅駕臨叛變的成員！死吧，餵食我們！》~
@41366  = ~Then flee this place. Our hunt continues, and if we do not find what we wish, we may take it out upon those that stand by. Wait, I know you. 《那就快點逃開。我們的獵殺會繼續下去，如果我們沒找到我們的對象，或許我們也會波及到旁邊的人。慢著……我認識你。》~
@41367  = ~Then run, and do not turn back. If we do not find the prey we seek, we may have to turn upon those standing by.《快走開，不要再回來這裡。要是我們沒有找到目標獵物，我們可能會轉而找上一旁的人。》~
@41368  = ~Well... gold isn't really the reason that we're complaining...《好吧……不過錢並不是我們抱怨的主要原因……》~
@41369  = ~But it will serve as an excellent reason not to. Come, Ketrick... remember your days as a starving actor and be thankful.《但它卻是不這麼做的絕佳理由。好了，肯崔克……想想你沒飯吃的日子，多感激一些吧。》~
@41370  = ~So. That's how it is to be, then.《好吧，那就這樣子了。》~
@41371  = ~I see.《我明白了。》~
@41372  = ~Well... we can't walk out. We need the coin, and the traveling troupes have already moved on...《好吧……我們不能這樣離開。我們需要錢，而且巡迴的劇團也已經都離開了……》~
@41373  = ~You are wise to keep your link to her secret, but now is not the time. We would have had to kill you for certain. Go. We will continue our hunt elsewhere.《影藏和她的秘密關連是個很聰明的做法，但現在並不是恰當的時候。我們差點就必須要殺了你。走吧，我們會到別地方去繼續我們的獵殺。》~
@41374  = ~Well, this is the script we're using, and that's final. I don't want to hear any complaints about it, so off you go.《好了，這就是我們用的劇本，就這樣。我不希望再聽到任何抱怨，通通回去排練！》~
@41375  = ~This? This script you have written, patron, is hardly better!《這？老闆，你所改寫的台詞根本就沒好到哪裡去！》~
@41376  = ~This isn't what I wanted! I wanted more... more...《這不是我要的！我要更多……更多……》~
@41377  = ~I suppose this script will do. It has... just about... everything I wanted in it.《我想這個劇本應該沒問題。我想要的……每樣東西……上頭幾乎都有了。》~
@41378  = ~And finally something we can actually learn! I can't believe we're making changes to the Turmish play, though...《終於有我們值得學習的東西了！我不敢相信我們竟然更動了突米須之劇的劇本，但是……》~
@41379  = ~This... this script is wonderful, patron!《這……這個劇本真是太棒了，老闆！》~
@41380  = ~I agree. If anything, you have made the Turmish play better than it was. Congratulations, patron. You have done the impossible.《我同意，你把突米須之劇改的更棒了。恭喜你，老闆，你完成了不可能的任務。》~
@41381  = ~Lies. We have observed all that come and go from the guild of shadow. The question was to allow you honor in death. It is wasted, I see.《說謊。我們已秘密監視了所有進出影賊公會的人。這問題本事要讓你死得光彩些的，但看來我是白問了。》~
@41382  = ~Certainly not, but such tactics serve to spook even the most stalwart Shadow Thief. The hunt has been good tonight. Go, and see the mistress's will be done.《當然不是，但是這種戰術可以嚇倒即使是最勇敢的影賊。今夜的獵殺成果相當不錯。去吧，去完成女主人的指示。》~
@41383  = ~This is one of three flail heads belonging to Lord de'Arnise. Not all three heads are required to assemble the flail.

STATISTICS:

Weight: 2《這是德阿尼斯爵士的三個鏈枷頭之一。要群組合鏈枷並不需要三個頭都找到。

資料資料：

重量：2》~
@41384  = ~This yellowed sheet of parchment describes the process used by the ancient dwarven smith Silverblade to forge the original Hammer of Thunderbolts, as well as the means by which he intended to continue to shape the weapon into its ultimate form. By the combining of the Hammer of Thunderbolts, gauntlets of ogre power, and a girdle of frost giant strength... and using the power of the hammer's true name "Crom Faeyr"... an ultimate weapon of destruction could still be completed using this scroll.《這張泛黃的羊皮紙描述古代矮人鐵匠銀鋒鑄造雷霆戰錘的程序，以及他準備將它加工作終極武器的方法。只要結合雷霆戰錘、食人魔怪力手套以及霜巨人之力束帶，並使用鐵錘的真正名字克倫·斐爾，就可以使用這個卷軸完成一把終極的毀滅武器。》~
@41385  = ~This is your cat familiar, currently curled up and safe within your backpack. The cat familiar is a master scout, able to move in the shadows with the ability of a master thief. It is also difficult to hit in combat, and the magic of the spell has made this cat resistant to both physical and magical attacks.

STATISTICS:

Hit Points: 24
Armor Class: 0
Magic Resistance: 50%

Combat: 2 attacks per round at 13 THAC0 for 1d3 damage
Special Abilities:
– 30% in Pick Pockets
– 99% in Move Silently/Hide in Shadows
– Immune to level drain, sleep, and petrification

Weight: 1《這是你的貓魔寵，安全地倦在你的背包裡。貓是一種高明的斥候，可以像盜賊大師一樣在陰影裡移動。它在戰鬥中很難被擊中，而且魔法使這雙貓不怕物理和魔法攻擊。

資料資料：

生命值：24
防禦等級：0
魔法抗力：50%

戰鬥能力：每輪2次攻擊，零級命中值13，傷害1d3

特殊能力：
-偷盜技巧：30%
-無聲行動/陰影躲藏：99%
-免疫等級吸取、睡眠和石化

重量：1》~
@41386  = ~This one-headed flail causes acid damage. If the other heads for the Flail of Ages could be found, they would make this weapon more powerful.

STATISTICS:

THAC0: +1
Damage: 1d6+2, +1 acid damage
Damage type: Crushing
Speed Factor: 6
Proficiency Type: Flail/Morning Star
Type: One-handed
Requires:
 13 Strength

Weight: 10《這副單頭鏈枷會造成強酸傷害。如果可以找到其它的頭部，就可以讓這把武器更具威力。

資料資料：

傷害：1d6+2，+1強酸傷害
傷害類型：鈍擊
使用速度：6
武器特長類別：鏈枷/流星錘
使用類別：單手
需求：
力量13

重量：10》~
@41387  = ~This one-headed flail causes fire damage. If the other heads for the Flail of Ages could be found, they would make this weapon more powerful.

STATISTICS:

THAC0: +1
Damage: 1d6+2, +1 fire damage
Damage type: Crushing
Speed Factor: 6
Proficiency Type: Flail/Morning Star
Type: One-handed
Requires:
 13 Strength

Weight: 10《這副單頭鏈枷會造成火焰傷害。如果可以找到其它的頭部，就可以讓這把武器更具威力。

資料資料：

傷害：1d6+2，+1火焰傷害
傷害類型：鈍擊
使用速度：6
武器特長類別：鏈枷/流星錘
使用類別：單手
需求：
力量13

重量：10》~
@41388  = ~This one-headed flail causes cold damage. If the other heads for the Flail of Ages could be found, they would make this weapon more powerful.

STATISTICS:

THAC0: +1
Damage: 1d6+2, +1 cold damage
Damage type: Crushing
Speed Factor: 6
Proficiency Type: Flail/Morning Star
Type: One-handed
Requires:
 13 Strength

Weight: 10《這副單頭鏈枷會造成寒冷傷害。如果可以找到其它的頭部，就可以讓這把武器更具威力。

資料資料：

傷害：1d6+2，+1寒冷傷害
傷害類型：鈍擊
使用速度：6
武器特長類別：鏈枷/流星錘
使用類別：單手
需求：
力量13

重量：10》~
@41389  = ~This two-headed flail causes fire and cold damage. If the other head for the Flail of Ages could be found, it would make this weapon more powerful.

STATISTICS:

THAC0: +2
Damage: 1d6+3, +1 fire damage, +1 cold damage
Damage type: Crushing
Speed Factor: 5
Proficiency Type: Flail/Morning Star
Type: One-handed
Requires:
 13 Strength

Weight: 10《這副雙頭鏈枷會造成火焰及寒冷傷害。如果可以找到其它的頭部，就可以讓這把武器更具威力。

資料資料：

傷害：1d6+3，+1火焰傷害，+1寒冷傷害
傷害類型：鈍擊
使用速度：7
武器特長類別：鏈枷/流星錘
使用類別：單手
需求：
力量13

重量：10》~
@41390  = ~At them, lads! We'll not let these worthless scags take away our night! 《抓他們，小子們！我們不能讓這些毫無價值的傢伙奪走我們的夜晚！》~
@41391  = ~There! More of that damnable Bodhi's goons! The fight is falling out of our favor! Fall back, fall back to the guild and we will prepare for another day!《在那裡！更多可惡的芭荻的手下！戰鬥對我們不利！撤退，回公會去，我們改天再戰！》~
@41392  = ~Stand ye well back from the battle, fool. You are not involved in this!《離戰場遠一點，笨蛋。你跟這件事沒關係！》~
@41393  = ~You! I recognize you as one of our own! Aid me and my Shadow Thief brethren! Take these foul creatures down!《你！我認得你是我們的一員！幫助我和我的影賊弟兄！殺死這些骯髒的生物！》~
@41394  = ~You damnable fool! I would rid these creatures from our streets for the safety of us all! You've tipped the balance, so deal with the monsters yourselves! Retreat!《討厭的笨蛋！為了所有人的安全，我要把這些怪物從我們的街道上清除掉！你破壞了均勢，所以你要自己處理這些怪物！撤退！》~
@41395  = ~One less cadre of nightcrawlers to pester our membership. Hell, if this is the best they can do, we Shadow Thieves will not have a competing guild for long.《又少了一個攻擊我們成員的夜行者。如果這就是他們最大的能耐，那麼影賊很快就沒有對手了。》~
@41396  = ~Back to the guild to bandage and prepare for another day. We'll hunt again when moon is bright.《回公會療傷，準備迎接另一天。等月光明亮時，我們要再次出獵。》~
@41397  = ~Yes, retreat like the cowardly fools you are! Your guild is doomed to wither and die!《是的，你們就像懦弱的傻子一樣地撤退。你的公會注定要衰敗且滅亡。》~
@41398  = ~Do you see, <CHARNAME>? Do you see the cowardice? Whatever the mistress is planning cannot help but succeed. The Shadow Thieves are weak. The hunt continues!《你看到了嗎，<CHARNAME>？你看到這些孬種了嗎？不管女主人決定要做什麼都不得不成功。影之賊實在太弱了。狩獵繼續！》~
@41399  = ~Look on, bystander, and see who is the stronger here today. Remember this should you ever be in a position to choose your path. Onward to the hunt!《看著吧，旁觀者，看一看今天誰才是強壯的一方。如果你面臨選擇道路的情況時，記住這件事。繼續狩獵！》~
@41400  = ~You are alone to face us now! Fight, and know you die for our cause, not yours!《現在，你獨自面對我們。戰鬥吧，然後你會知道你是因我們而死，不是你自己。》~
@41401  = ~There's no need for such formality. What exactly have you been studying?《現在不用這麼的拘泥形式。從以前到現在，你到底學了什麼東西？》~
@41402  = ~Just stay out of my way. You do that, and you'll have it easy.《不要擋住我的路。你要實地去做才會覺得容易。》~
@41403  = ~Ahh, the eagerness of youth. I shall give of my wisdom, and you shall flourish.《啊，年輕人急切渴望的心。我應該把我的智慧傳授給你，然後你就可以發揚光大。》~
@41404  = ~Very well. May I ask if there is anything in particular you would want us concentrating on?《很好。你有什麼事情是特別要我們集中心力去做的嗎？》~
@41405  = ~Ah, you are here! You... would not believe what has been occurring. We are finally making progress in rehearsals, and now... other things are happening...《啊，你回來了！你……你一定不會相信這裡發生了什麼事。我們的排練終於有了進展，可是現在……卻出現了其他的意外。》~
@41406  = ~We've had props inexplicably fall from tables! A cistern broke and ruined an entire backdrop! Jenna slipped yesterday and almost broke her foot!《我們有道具莫名其妙的從桌上掉下來！一座水槽突然破掉，毀掉了整幕佈景！珍娜昨天摔了一跤，差點就把腿給跌斷！》~
@41407  = ~There's been other strange things, too... noises during the night, creakings and moanings. One of the stage gnomes almost died falling out of the rafters!《而且還有其他的怪事……晚上的奇怪噪音，吱吱聲哀歎聲。還有一為侏儒差點從支架上面掉下來摔死！》~
@41408  = ~All the actors are frightened; they believe the curse is assailing us, and I... am beginning to believe it too. Oh, what a fool I was to disregard it!《所有的演員都嚇壞了，他們相信我們劇團已經受到了詛咒，而我……我也開始相信了。哦，我這笨蛋，我當初為什麼不理會它。》~
@41409  = ~These are all coincidences, Higgold. Mishaps happen in every theater production.《這都只是巧合而已，希果德。每出戲在排演的時候難免總是會有一些意外。》~
@41410  = ~This sounds quite ominous... what do you want me to do?《聽起來怪可怕的……你希望我怎麼做？》~
@41411  = ~You aren't just trying to get more money out of me, are you?《你該不會只是想跟我拿更多錢吧？》~
@41412  = ~I know that, <CHARNAME>, and I was willing to chalk up most of these as accidents... but so many? Every day, something else happens to frighten us.《我知道，<CHARNAME>，而且我也很想把他們都當作是意外……可是這麼多的意外？幾乎每天都會有事情發生嚇到我們。》~
@41413  = ~Even if it is coincidence, the actors don't think so. They are so jittery and nervous they are forgetting lines. Marcus is frightened almost to leaving...《就算真的只是巧合，可是演員們卻不這麼想。他們緊張兮兮的，把所有的台詞都忘了。馬庫斯被嚇得甚至想不幹了……》~
@41414  = ~The... the props and such we mostly recovered or replaced. But Zaren came across someone who has offered to help, and I don't think I can turn down the offer...《那……那些道具跟其他的東西差不多都處理好了，可是塞倫碰到了一位自稱可以提供幫助的人，我似乎沒有辦法拒絕他的要求……》~
@41415  = ~The only problem is, er, the expense. But perhaps you should meet her first before I say anything more...《唯一的問題就是，呃，費用。不過也許你應該先見見她……》~
@41416  = ~Well... you are the <PRO_LADYLORD> patron of the playhouse... I need you to... No, no. I can't say it just like that. You must think I am insane, <CHARNAME>...《當然……你是這家劇院的<PRO_LADYLORD>老闆……我需要你……不，不，我不應該這麼講，你一定會認為我瘋了，<CHARNAME>……》~
@41417  = ~Err... not quite, my <PRO_LADYLORD> patron, but, in a way, yes. Oh, I should not say it just like that... I do have an explanation! You must think me insane.《呃……也不是，我的<PRO_LADYLORD>老闆，不過其實也是。哦，我真不該這麼講……我可以解釋！你一定會以為我瘋了。》~
@41418  = ~All an' well hails to ye. May de Bright Lady shine upon our meeting today.《祝你一切都好。願光明女士照耀我們相遇的這一天。》~
@41419  = ~Err... <CHARNAME>, this is Shvanana, a... Turmish priestess from Alaghon, here on pilgrimage. Shvanana, this is <CHARNAME>, patron of the playhouse.《呃，<CHARNAME>，這位是席娃娜娜，一位……從阿拉貢來的突米須女教士，到這邊來朝聖。席娃娜娜，這位就是<CHARNAME>，這家劇院的老闆。》~
@41420  = ~You be dealin' with bad magic, I see. Bad magic come callin' upon this place... you be crossin' de oldest one, aye? Like de other fools, putting on mummeries to cross 'im?《我懂了，你有碰到壞的魔法。壞的魔法在這個地方……你惹了最古老的那個，是不是？向其他笨蛋一樣，還想演戲起來惹他？》~
@41421  = ~Yes, well. Er... Shvanana says that she can dispel the curse... or at least protect us from it, while we put the play on. For a price, which—《是的，當然。呃……席娃娜娜說她可以解除詛咒……或至少保護我們，在演出的時候不受到詛咒的干擾。不過這需要一筆費用，也就是……》~
@41422  = ~Shvanana can stave off de oldest one's anger for a while, to save you mummers, but dusts is costly, an' so is Shvanana's time. 1,000 golders, an' I do it.《席娃娜娜可以暫時鎮壓最古老那個人的憤怒，救你的演員，但是除靈很貴，席娃娜娜的時間也是。一千枚金子，我就願意做。》~
@41423  = ~I know it seems like a... large amount, <CHARNAME>, but the cast is incredibly excited about it! They... we would all be relieved if Shvanana would do this...《我知道這聽起來像是……一把很大的花費，<CHARNAME>，可是團員們卻十分的興奮！如果可以讓席娃娜娜施法解除詛咒……他們一定會感到很放心……》~
@41424  = ~Shvanana's time, it be limited as well as valuable... you be making up your minds now, yes?《席娃娜娜的時間，時間有限又可貴……你要做決定，是嗎？》~
@41425  = ~Very well... I'll pay you the 1,000 gold if you'll do this.《很好……我願意付一千枚金幣請你除靈。》~
@41426  = ~I'll pay you 500 gold, Shvanana... no more.《我願意付你五百枚金幣，席娃娜娜……最多就這樣。》~
@41427  = ~I'll pay you 500 gold, Shvanana... no more.《我願意付你五百枚金幣，席娃娜娜……最多就這樣。》~
@41428  = ~I have a companion in my party who is a cleric as well. They can rid the play of this curse just as easily as you can.《我的隊伍裡也有位牧師隊友，他們也能像你一樣，輕鬆地將詛咒解除。》~
@41429  = ~I'll not deal with a charlatan... this curse is only in your mind, Higgold. Send the priestess away and tell the actors to ignore their fears and get on with the show!《我不會跟騙子打交道……這個詛咒只存在你的心裡，希果德。把這個女祭司趕走，叫其他的演員不要理會他們荒謬的恐懼，給我好好地排戲！》~
@41430  = ~Then I will be doing it, an' you mummers will be protected. Shvanana must go now and collect de dusts that be needed. Shvanana will return soon, and you will see.《那我願意施法，保護你的演員們。席娃娜娜要走了，現在，收集除靈要用的材料。席娃娜娜很快回來，你很快看到結果。》~
@41431  = ~Oh, thank you, <CHARNAME>! Thank you so much! We... the actors will be substantially relieved! Maybe now we can all get back to work!《哦，謝謝你，<CHARNAME>！真是太謝謝你呢！我們……演員們一定會放心許多！現在，也許我們終於又可以開始工作了！》~
@41432  = ~You! I sense the stench of Talos upon you! I warn you, I am here to purge this place of the evil that has been claiming innocents, and if you are involved, I will see you dead!《你！我可以感受到你身上塔洛斯的氣息！我警告你，我是來掃除此地殺害無辜百姓的邪惡勢力。如果你膽敢攔阻我，我就會親手殺了你！》~
@41433  = ~I seek the same as you, old man, so if you stay out of my way, we should get along fine.《老傢伙，我的目的和你是相同的。所以只要你不擋到我的路，我們就可以相安無事。》~
@41434  = ~I do not take kindly to threats! Withdraw your words before I feed them to you!《我可不是好欺負威脅的！收回你剛剛的話，否則我就要你好看！》~
@41435  = ~Can we not work together on this? I have been sent by the church to investigate.《我們不能合作解決這件事情嗎？我是神殿派來調查邪教的人。》~
@41436  = ~Does ye be seein' a merchant here before ye, patron-of-mummers? Shvanana is not one to bargain. I says that this is what the rituals cost, and this is what they cost.《你眼前看到的是一位商人嗎，演員的老闆？席娃娜娜不討價還價，我說這就是儀式要花的錢，這就是該花的錢。》~
@41437  = ~Then I suppose I will have to pay you the 1,000 gold.《那我只好乖乖付你一千枚金幣。》~
@41438  = ~If you are as you say, then I wish you well, though I will not have you at my back. Go, and search where you must. I shall take another route away from you.《既然你這麼說，那我就祝你順利。但是我可不願意讓你待在我的背後，去吧，去搜索你要找的地方吧。我會選擇和你不同的路線。》~
@41439  = ~Well, I don't need you, really. I have a companion who is a cleric, and who can dispel the curse as easily as you.《呃，坦白講，我並不需要你。我自己有個牧師同伴，可以和你一樣輕鬆解除詛咒。》~
@41440  = ~I will do no such thing. I sense the taint in you. If you wish to make an issue of it, then we shall come to blows. Move carefully here. I have seen no crime, so we may yet pass peacefully.《我不會答應這種事情。我可以感受到你的邪惡，如果你要發揮你的邪惡本性，那麼我們勢必會拔劍相向。在這邊多小心一些，我還沒看到你犯下任何的罪行，所以我們還有機會可以和平地相處。》~
@41441  = ~I doubt I should want any part of your church. No, if you must be here, then go your own way. I shall take a different route where you are not at my back. Farewell.《我懷疑我會想跟你的神殿扯上任何關係。不，如果你一定要待在這裡，那就自己去忙吧。我會選擇另外跟你不同的路線。再見了。》~
@41442  = ~Then go on your way. I will find what I seek without your meddling, paladin.《那就去啊。不用你這聖武士的搞亂，我也可以自己找到我要找的東西。》~
@41443  = ~I will not have you wandering behind me waiting to pounce. Raise your weapon!《我可不會讓你在後頭等著機會偷襲我。拔出你的武器吧！》~
@41444  = ~I'll not deal with a charlatan, then... this curse is only in your mind, Higgold. Send the priestess away and tell the actors to ignore their fears and get on with the show!《我不會跟騙子打交道……這個詛咒只存在你的心裡，希果德。把這個女祭司趕走，叫其他的演員不要理會他們荒謬的恐懼，給我好好地排戲！》~
@41445  = ~As you would have it. I will not mourn the loss of your taint, even though there are greater battles to be fought.《那就來吧。即使還有更大的邪惡又處理，我還是不會介意先解決掉你這邪惡的傢伙。》~
@41446  = ~Hmm-mmmh. All right, then. Shvanana will be doing as you ask, but only because Shvanana thinks you have great need. Ye mummers should not cross de oldest one if ye does not be needin' to.《嗯……好吧。席娃娜娜會幫你工作，但這是因為席娃娜娜覺得你有很大的需要。如果你沒有這個必要，你的演員不該惹到最古老的那一位。》~
@41447  = ~Shvanana must be going now, to collect de dusts and prepare. But Shvanana will be comin' back soon, not to be worryin'.《席娃娜娜要走了，去收集除靈的道具和材料。但是席娃娜娜很快回來，不要擔心。》~
@41448  = ~They can be tryin', if it be makin' ye feel better. But I am sure they not be Turmish, aye? And they be knowin' nothing of the oldest one? Well, then. They can certainly be tryin'.《他們可以試試，如果這讓你覺得舒服。可是我相信他們不是突米須人，是吧？他們不知道最古老的那個人？那好吧，他們當然可以試一試。》~
@41449  = ~Fine, I get your point. Here is 1,000 gold, then.《好了，我知道你的意思了。一千枚金幣拿去。》~
@41450  = ~I'll offer you 500 gold to do this, then... no more.《我願意付你五百枚金幣，就這樣……不能再多了。》~
@41451  = ~I'll offer you 500 gold to do this, then... no more.《我願意付你五百枚金幣，就這樣……不能再多了。》~
@41452  = ~And they will try... and I trust them a lot more than I do a priestess from some strange Turmish cult. Off you go.《對，他們一定會試試……而且我對他們的信任，遠超過我對某個詭異突米須教派祭司的信任。你可以走了。》~
@41453  = ~I'll not deal with a charlatan... this curse is only in your mind, Higgold. Send the priestess away and tell the actors to ignore their fears and get on with the show!《我不會跟騙子打交道……這個詛咒只存在你的心裡，希果德。把這個女祭司趕走，叫其他的演員不要理會他們荒謬的恐懼，給我好好地排戲！》~
@41454  = ~As ye wish. Shvanana did not be comin' here on her own. Shvanana was asked, she was. And she can just as easily be leavin'.《隨便你高興，席娃娜娜不是自己來的。席娃娜娜是被人要求來的，她一樣可以輕鬆的離開。》~
@41455  = ~N-no, Shvanana, wait! No, please! We... we can work something out!《不－不，席娃娜娜，等等！不，拜多！我們……我們可以再談談！》~
@41456  = ~I do not be thinkin' so, boyee. Yer patron-of-mummers has said <PRO_HISHER> word, an' so it be. Shvanana does be wishin' you well.《我不會這麼樣認為，小傢伙。你的演員的老闆已經說明<PRO_HISHER>指示，那就這樣。席娃娜娜祝你們一切平安。》~
@41457  = ~Ooh... why did you do that, <CHARNAME>? I... I will do as you say and speak to the cast, but none of us will feel safe until this play is over and done with!《嗚呃……你為什麼要這麼做，<CHARNAME>？我……我會照你說得去跟團員解釋，可是除非這齣戲結束，否則沒有人可以真正放心的！》~
@41458  = ~If that be your wish. Your cleric can be tryin' to match th' power of de oldest one, Shvanana is sure. Shvanana was asked to come; she did not be comin' here on her own.《如果你希望，你的牧師可以試試和最古老那傢伙的力量比一比，席娃娜娜相信。席娃娜娜是被要求過來的，她不是自己過來的。》~
@41459  = ~I suppose the actors will feel better knowing that a proper cleric has, er, blessed the playhouse. I will tell them, and we will get back to the rehearsals...《既然已經有牧師，呃，祝福過這家劇院，我想演員們應該會覺得好過一些。我會馬上告訴他們，而後我們就可以安心繼續排練……》~
@41460  = ~I'll... I'll try to remove whatever curse is here, but I don't really feel anything. I don't think there's real magic involved. But... some prayer wouldn't hurt, I suppose...《我會……我會試著除去此地的詛咒，但我真的什麼都感覺不到。我不認為這真的和魔法有關。但是……我想，來些祈禱詞也沒什麼不好……》~
@41461  = ~Hmph. I feel little here in the way of an actual curse. No doubt it exists only in their heads. But I will pray to Helm for their benefit, if it will ease their frail minds.《哼。我在這裡感覺不太到真正的詛咒，無疑的它只存在於他們的腦海中。但我會祈求海姆賜福給他們，若這能舒解他們脆弱的心靈的話。》~
@41462  = ~Shar will not dispel the despair of these actors. There is no curse here, no magic. But I would be pleased to go through the motions for you if it eases the cries of these frail rivvin.《莎爾無法驅散這些演員的絕望。因為這裡根本就沒有詛咒，也沒有魔法。但是我願意幫你演一齣戲，如果這真能安撫這些脆弱rivven（人類）的哭喊。》~
@41463  = ~I cannot afford to pay this priestess, Higgold. Best you send her on her way and tell the actors that they must face their fears as best they can.《我沒有足夠的錢可以付給這位女祭司，希果德。最好是把她送走，然後叫大家盡量克服他們心中的恐懼。》~
@41464  = ~I cannot afford to pay this priestess, Higgold. Best you send her on her way and tell the actors that they must face their fears as best they can.《我沒有足夠的錢可以付給這位女祭司，希果德。最好是把她送走，然後叫大家盡量克服他們心中的恐懼。》~
@41465  = ~*sigh* You be lookin' like a good sort. Perhaps Shvanana will make an exception this one time. Shvanana will go now and collect de dusts she be needin'... but she be back soon.《（歎氣）你看起來像好人。也許席娃娜娜這次要破例。席娃娜娜現在就走，去收集她需要的材料……但是她很快回來。》~
@41466  = ~You will not steal my vengeance!《你們休想阻止我復仇！》~
@41467  = ~<CHARNAME>, it's a trap! Use the mirror... to the left of the crystal there... to gather what light is left and avenge my pack!《<CHARNAME>，這是圈套！使用這個鏡子。在水晶的左邊，那裡……將剩餘的光聚集起來，為我的狼群報仇！》~
@41468  = ~<CHARNAME>, we have a disaster on our hands! I... I don't know if it's a curse or just bad luck! Ohh, barely more than a week to opening and THIS happens!《<CHARNAME>，我們發生嚴重的意外了！我……我不知道這究竟是詛咒，還是我們運氣不好！哦，再一個禮拜就要開演了，卻發生這種事情！》~
